Etunimi,Lukumäärä
Nimo,71
Pirkko-Leena,71
Venja,71
Venni,71
Anna-Maaria,70
Marwa,70
Mitra,70
Nadine,70
Nanette,70
Niina-Maria,70
Sini-Tuulia,70
Unni,70
Ayaan,69
Eelin,69
Jenni-Mari,69
Lotta-Maria,69
Mari-Anna,69
Pirta,69
Suvituuli,69
Anne-Marita,68
Anu-Riikka,68
Hilde,68
Inge-Maj,68
Jonna-Maria,68
Meija,68
Mella,68
Nanny,68
Renata,68
Salla-Maarit,68
Sanna-Riikka,68
Sirkka-Leena,68
Cajsa,67
Nea-Maria,67
Serafina,67
Anni-Kaisa,66
Aya,66
Eleanor,66
Elli-Maija,66
Gia,66
Iina-Maria,66
Kirsi-Mari,66
Kristine,66
Liisa-Maija,66
Marje,66
Safa,66
Sole,66
Tianna,66
Ulriikka,66
Veela,66
Zaida,66
Albina,65
Eeva-Mari,65
Eriika,65
Gloria,65
Ireene,65
Kristin,65
Mariina,65
Mindi,65
Minessa,65
Naima,65
Neve,65
Rahma,65
Terttu-Liisa,65
Uma,65
Una,65
Yasemin,65
Aimi,64
Bernice,64
Chiara,64
Enne,64
Helin,64
Lise,64
Pepita,64
Riina-Maria,64
Tiila,64
Tora,64
Anastassia,63
Anna-Riina,63
Ayla,63
Beea,63
Lene,63
Maryama,63
Merika,63
Mona-Lisa,63
Oivi,63
Penni,63
Riitu,63
Emili,62
Greetta,62
Jamila,62
Katinka,62
Liida,62
Lillian,62
Liselott,62
Milea,62
Minttu-Maria,62
Noelle,62
Noora-Maria,62
Tii,62
Aino-Sofia,61
Anki,61
Donna,61
Edda,61
Emina,61
Emmi-Sofia,61
Esra,61
Hinni,61
Leena-Marja,61
Lykke,61
Marjo-Riikka,61
Medina,61
Miili,61
Rigmor,61
Sanne,61
Sarina,61
Seija-Riitta,61
Suzan,61
Vanja,61
Cara,60
Clary,60
Dalia,60
Hele,60
Lianna,60
Marjo-Liisa,60
Minttu-Maaria,60
Ros-Mari,60
Adalmina,59
